Id,UnitNumber,StreetNumber,SuburbName,SuburbCode,SoldDate,DayOfWeek,DayType,HolidayStatus,SoldStatus,PropertyType,Bed,Bath,Garage,LongTermResidentPercent,RentedResidentPercent,SingleResident,Garden,Pool,Heating,Cooling,AvgDaysOnMarketSuburb,PropertySoldInSuburb,LandSize,BuildYear,NumOfTimesSold,NumOfTimesRented,LastSoldPrice,LastRentedPrice,LastSoldYear,LastRentedYear,MinTemp,MaxTemp,AvgRainfall,DistanceCBD,DistanceRailwayStation,DistanceBusStation,DistanceShoppingMall,DistanceSchool,PriceLowEnd,PriceHighEnd,Frontage,Slop,ExternalPricePrediction,SimilarPropertyPrice1,SimilarPropertyPrice2
729,NA,NINE,burwood,3125,20151104,WkDay,WDay,WrkngDy,sold,Hse,4,2,2,66,48,68,Y,N,Y,Y,108.5,116.5,252,2015,2,0,772000,NA,2011,NA,10.9,27.2,0,19.4,1.5,0.3,1.7,2.51,985000,1530000,NA,NrlyLvl,1070333,1170000,985000
781,NA,ONE,burwood,3125,20151219,WkEnd,SDay,WrkngDy,sold,Hse,3,1,1,42,45,66,Y,N,N,N,108.5,116.5,430,1960,2,3,166600,395,1999,2011,19.2,41.2,0,16.7,0.3,0.3,1.7,1.54,880000,1170000,15.2,GntlyInclnd,1025333,1600000,1480000
806,NA,ONE,burwood,3125,20170916,WkEnd,SDay,WrkngDy,sold,TwnHse,3,2,2,52,39,58,Y,N,Y,N,108.5,116.5,350,2001,1,0,NA,NA,NA,NA,7.4,13.3,21.4,19.1,0.1,0.1,0.1,1.99,800000,1060000,NA,NA,886667,891000,1410000
824,NA,EIGHT,burwood,3125,20150221,WkEnd,SDay,WrkngDy,sold,Hse,4,2,0,56,35,52,N,N,Y,N,108.5,116.5,636,1960,4,0,590000,NA,2008,NA,18.1,36.1,0,20.6,1.2,0.3,0.7,1.43,1080000,1430000,16.0,GntlyInclnd,1392167,1330000,1200000
828,NA,THREE,burwood,3125,20141030,WkDay,ThDay,WrkngDy,sold,Hse,3,2,2,42,43,65,Y,N,N,N,108.5,116.5,588,2015,1,0,NA,NA,NA,NA,13.4,21.3,0,17,0.7,0.4,1.6,2.2,1240000,1660000,NA,NA,1412500,1710000,725000
882,ONE,SEVEN,burwood,3125,20170522,WkDay,MDay,WrkngDy,sold,TwnHse,3,2,2,52,39,58,N,N,Y,Y,108.5,116.5,296,2010,1,0,NA,NA,NA,NA,10.4,20.3,0,19.1,0.2,0.2,0.3,2,975000,1290000,18.3,ModInclnd,907333,891000,1410000
888,NA,ONE,burwood,3125,20150907,WkDay,MDay,WrkngDy,sold,Hse,4,2,2,66,48,68,Y,N,Y,Y,108.5,116.5,312,2011,2,0,870000,NA,2011,NA,8.9,13.6,3.6,18.5,1.6,1.8,2.4,2.55,925000,1230000,NA,ModInclnd,1032000,1170000,985000
890,NA,NINE,burwood,3125,20150711,WkEnd,SDay,WrkngDy,sold,Hse,3,1,2,56,35,52,N,N,Y,N,108.5,116.5,593,1950,3,0,278500,NA,2005,NA,10.9,13.1,0.2,20.6,3.2,4.7,3.5,1.46,1030000,1360000,16.2,GntlyInclnd,1062667,1160000,1790000
893,NA,NINE,burwood,3125,20150323,WkDay,MDay,WrkngDy,sold,TwnHse,4,2,1,48,41,66,Y,N,Y,Y,108.5,116.5,318,2014,3,1,380000,660,2014,2015,13.6,27,0,18.1,0.9,0.085,1.4,1.14,1030000,1360000,NA,NA,1142000,985000,1460000
938,ONE,FOUR,burwood,3125,20150713,WkDay,MDay,WrkngDy,sold,Hse,3,2,2,43,44,68,Y,N,N,N,108.5,116.5,876,2015,1,0,NA,NA,NA,NA,6.1,12.7,28.4,17.7,0.5,0.2,1.8,1.4,845000,1110000,NA,GntlyInclnd,997667,901000,891000
940,NA,EIGHT,burwood,3125,20150428,WkDay,TuDay,WrkngDy,sold,Hse,3,1,0,42,43,65,N,N,N,N,108.5,116.5,600,1979,3,0,72500,NA,1986,NA,10.1,16,1.6,17,0.8,0.2,1.5,2.07,1180000,1580000,15.6,GntlyInclnd,1400333,1710000,725000
969,NA,FIVE,burwood,3125,20150411,WkEnd,SDay,WrkngDy,sold,Hse,3,1,2,56,35,52,Y,N,Y,N,108.5,116.5,591,1955,3,1,1000000,450,2015,2010,11.6,23.7,0,18.7,1.5,0.8,0.9,1.51,1120000,1510000,16.8,GntlyInclnd,1138333,1160000,1170000
971,NA,NINE,burwood,3125,20141203,WkDay,WDay,WrkngDy,sold,Hse,4,2,2,64,30,50,Y,N,Y,N,108.5,116.5,557,1980,3,0,455000,NA,2005,NA,16.2,23.9,0,20.4,1.8,0.9,1.2,1.27,1120000,1510000,15.2,GntlyInclnd,1263333,1400000,1330000
999,NA,THREE,burwood,3125,20151017,WkEnd,SDay,WrkngDy,sold,Hse,4,2,2,53,43,59,N,N,N,N,108.5,116.5,536,1964,2,1,553000,360,2012,2009,11.5,20.5,0,17.7,0.9,0.5,2.2,1.11,1060000,1640000,18.0,NrlyLvl,1355167,985000,1400000
1001,NA,NINE,burwood,3125,20150623,WkDay,TuDay,WrkngDy,sold,Hse,3,1,0,53,43,59,N,Y,Y,N,108.5,116.5,682,1980,2,0,370000,NA,2004,NA,9.6,17.6,0,19.6,2.1,5.8,2.4,0.93,1080000,1430000,16.4,GntlyInclnd,1297833,901000,1240000
1033,NA,FOUR,burwood,3125,20150329,WkEnd,SDay,WrkngDy,sold,Hse,5,2,2,52,39,58,Y,N,Y,N,108.5,116.5,811,1980,3,1,195000,450,1998,2010,8.5,22.7,0,18.8,0.2,0.2,1.8,2.11,1370000,1830000,NA,NrlyLvl,1731000,1170000,1480000
1034,NA,SIX,burwood,3125,20150321,WkEnd,SDay,WrkngDy,sold,Hse,3,1,1,42,43,65,N,N,N,N,108.5,116.5,592,1960,2,4,45250,360,1982,2015,11.9,22.7,0,16.9,0.3,0.3,1.5,2.11,1300000,1740000,15.6,GntlyInclnd,1353833,1710000,1270000
1046,NA,NINE,burwood,3125,20170624,WkEnd,SDay,WrkngDy,sold,Hse,3,1,2,64,15,53,N,N,Y,N,108.5,116.5,650,1950,2,2,560000,390,2009,2015,8.3,12.3,1.4,16.1,0.9,1,0.6,1.17,975000,1290000,15.3,GntlyInclnd,1311667,1660000,1270000
1047,NA,NINE,burwood,3125,20170429,WkEnd,SDay,WrkngDy,sold,Hse,3,1,1,53,43,59,N,N,Y,N,108.5,116.5,564,1960,1,1,NA,300,NA,2006,14.9,18.1,0.2,17.8,1,0.1,2.1,1.03,1030000,1360000,16.1,GntlyInclnd,1263833,901000,1730000
1058,NA,ONE,burwood,3125,20160604,WkEnd,SDay,WrkngDy,sold,Hse,3,1,1,51,49,49,Y,N,Y,Y,108.5,116.5,760,1950,1,0,NA,NA,NA,NA,9.8,13.4,6.2,16.9,1.3,0.1,0.9,0.76,1120000,1510000,15.4,NrlyLvl,1308333,1450000,1900000
1059,NA,EIGHT,burwood,3125,20160604,WkEnd,SDay,WrkngDy,sold,Hse,3,1,1,48,41,66,N,N,N,N,108.5,116.5,759,1950,1,0,NA,NA,NA,NA,9.8,13.4,6.2,17.8,0.6,0.6,3.7,1.32,901000,1730000,NA,NrlyLvl,1187333,901000,891000
1060,NA,NA,burwood,3125,20151201,WkDay,TuDay,WrkngDy,sold,Hse,4,1,1,55,39,43,Y,N,Y,Y,108.5,116.5,725,1930,3,2,157000,430,1994,2016,14.5,24.6,1.8,17,2.8,0.9,1.8,1.01,1120000,1510000,15.7,GntlyInclnd,1379250,1420000,1460000
1061,ONE,THREE,burwood,3125,20150926,WkEnd,SDay,WrkngDy,sold,TwnHse,4,3,2,53,43,59,Y,N,Y,N,108.5,116.5,762,2015,1,0,NA,NA,NA,NA,6.6,17.9,0,19.7,1.3,1.3,4.1,0.95,1060000,1640000,19.2,GntlyInclnd,913000,985000,1400000
1063,NA,SIX,burwood,3125,20150704,WkEnd,SDay,WrkngDy,sold,Hse,3,1,1,42,45,66,N,N,Y,N,108.5,116.5,697,1950,2,2,615000,425,2011,2015,7.3,10.6,0,16.9,0.8,0.6,1.6,1.38,1080000,1430000,15.3,GntlyInclnd,1314500,1270000,1340000
1100,NA,FIVE,burwood,3125,20160305,WkEnd,SDay,WrkngDy,sold,Hse,3,1,2,72,14,37,Y,N,Y,N,108.5,116.5,757,1955,2,0,181000,NA,1998,NA,20.4,23.7,1.2,17.8,0.8,1.4,2,1.52,1240000,1660000,17.1,GntlyInclnd,1426667,1450000,1500000
1102,NA,ONE,burwood,3125,20150817,WkDay,MDay,WrkngDy,sold,Hse,3,1,1,43,34,52,N,N,N,N,108.5,116.5,585,1980,3,5,100000,370,1995,2010,6.8,12.2,2.4,17.1,0.088,0.088,1.6,1.98,1080000,1430000,15.2,NrlyLvl,1208333,1710000,1340000
1103,NA,FIVE,burwood,3125,20150605,WkDay,FDay,WrkngDy,sold,Hse,3,1,0,42,43,65,N,N,N,N,108.5,116.5,595,1980,1,2,NA,355,NA,2014,7,15,4.2,17.1,0.6,0.3,1.7,2.15,1240000,1660000,19.5,GntlyInclnd,1400333,1710000,725000
1111,NA,NINE,burwood,3125,20170224,WkDay,FDay,WrkngDy,sold,Hse,3,2,2,72,14,37,Y,N,Y,N,108.5,116.5,743,1981,1,0,NA,NA,NA,NA,15.8,20,1.4,17.5,1.1,1.2,1.5,1.66,1120000,1510000,16.9,NrlyLvl,1376667,1450000,749900
1116,NA,SIX,burwood,3125,20160625,WkEnd,SDay,WrkngDy,sold,Hse,4,2,2,51,49,49,Y,N,N,N,108.5,116.5,766,1955,4,1,816000,500,2011,2008,5.6,12.7,2,17.3,1.7,0.5,1.2,1.77,1370000,1950000,23.1,NrlyLvl,1512500,1610000,1520000
1129,NA,NINE,burwood,3125,20150718,WkEnd,SDay,WrkngDy,sold,Hse,3,1,1,56,35,52,N,Y,Y,Y,108.5,116.5,719,1960,2,1,470000,350,2006,2007,6.1,11.5,0.4,18.8,1.6,0.8,0.9,1.54,1180000,1580000,20.4,GntlyInclnd,1386833,1160000,1170000
1135,NA,SIX,burwood,3125,20150328,WkEnd,SDay,WrkngDy,sold,Hse,3,1,0,66,17,46,N,N,N,N,108.5,116.5,697,1950,2,2,42000,410,1977,2016,12.7,19.1,0,16.4,0.9,0.5,0.9,2.32,1370000,1830000,15.2,NrlyLvl,1724333,1710000,1270000
1136,NA,NINE,burwood,3125,20150321,WkEnd,SDay,WrkngDy,sold,Hse,3,2,3,65,23,42,Y,N,Y,N,108.5,116.5,660,1940,3,0,802000,NA,2008,NA,11.9,22.7,0,16.1,0.3,0.3,0.6,2.27,1430000,1920000,NA,NrlyLvl,1700000,1270000,1570000
1157,THREE,THREE,burwood,3125,20170422,WkEnd,SDay,WrkngDy,sold,TwnHse,4,3,2,43,44,68,N,N,Y,N,108.5,116.5,894,2004,1,0,NA,NA,NA,NA,16.9,22.5,4.6,17.8,0.1,0.1,1.9,1.24,1030000,1360000,18.1,GntlyInclnd,985667,1200000,1310000
1175,NA,ONE,burwood,3125,20150816,WkEnd,SDay,WrkngDy,sold,Hse,4,2,2,52,39,58,N,N,N,N,108.5,116.5,668,1970,1,0,NA,NA,NA,NA,4.7,17,0.2,19.1,0.3,0.3,0.3,2.18,1180000,1580000,NA,NrlyLvl,1445000,1170000,1480000
1176,NA,ONE,burwood,3125,20150711,WkEnd,SDay,WrkngDy,sold,Hse,3,2,2,52,19,38,Y,N,Y,Y,108.5,116.5,466,2002,2,0,630000,NA,2007,NA,10.9,13.1,0.2,18.7,3.2,0.9,2.3,0.8,1300000,1740000,15.1,GntlyInclnd,1400000,1240000,1480000
1181,NA,SIX,burwood,3125,20150321,WkEnd,SDay,WrkngDy,sold,Hse,4,2,2,52,19,38,Y,N,Y,Y,108.5,116.5,503,2005,2,2,640000,790,2005,2017,11.9,22.7,0,19.1,1.9,0.3,2.3,0.7,1240000,1660000,14.6,NrlyLvl,1441667,1420000,1340000
1185,NA,NINE,burwood,3125,20141002,WkDay,ThDay,WrkngDy,sold,Hse,4,3,2,74,5,41,Y,N,Y,N,108.5,116.5,300,2000,3,0,465000,NA,2000,NA,9.6,17.1,0,17.1,2.2,1.3,1.5,2.76,1430000,1920000,12.1,NrlyLvl,1015667,1890000,1680000
1186,NA,FIVE,burwood,3125,20140905,WkDay,FDay,WrkngDy,sold,Hse,4,2,2,58,36,55,Y,N,Y,N,108.5,116.5,676,1950,1,0,NA,NA,NA,NA,4.8,15.1,0,18.8,1.2,0.2,1.1,2.56,1300000,1740000,20.2,NrlyLvl,1603333,1170000,965000
1202,NA,FIVE,burwood,3125,20150605,WkDay,FDay,WrkngDy,sold,Hse,3,1,0,42,43,65,N,N,N,N,108.5,116.5,595,1980,1,2,NA,355,NA,2014,7,15,4.2,17.1,0.6,0.3,1.7,2.15,1240000,1660000,19.5,GntlyInclnd,1400333,1710000,725000
1216,NA,EIGHT,burwood,3125,20160319,WkEnd,SDay,WrkngDy,sold,Hse,4,1,1,41,64,76,N,N,Y,Y,108.5,116.5,697,1950,4,0,691800,NA,2013,NA,12,18.8,5.8,17.4,0.8,0.2,2.5,1.36,1370000,1830000,15.3,GntlyInclnd,1621333,985000,1300000
1219,NA,THREE,burwood,3125,20151009,WkDay,FDay,WrkngDy,sold,Hse,3,1,1,31,62,79,N,N,N,N,108.5,116.5,899,1980,2,0,167000,NA,1989,NA,10.9,29.9,0,18,1.1,0.3,1.9,1.57,1300000,1740000,NA,GntlyInclnd,1718333,891000,1410000
1220,NA,ONE,burwood,3125,20150926,WkEnd,SDay,WrkngDy,sold,Hse,4,2,2,58,36,55,N,N,Y,Y,108.5,116.5,677,1960,3,1,395000,300,2004,2004,6.6,17.9,0,18.8,1.3,0.3,1.2,2.51,1300000,1740000,21.5,NrlyLvl,1475333,1170000,965000
1222,NA,TWO,burwood,3125,20150704,WkEnd,SDay,WrkngDy,sold,Hse,3,1,3,55,39,43,N,N,Y,N,108.5,116.5,858,1980,1,0,NA,NA,NA,NA,7.3,10.6,0,17,2.5,0.7,1.7,1.04,1510000,2010000,NA,GntlyInclnd,1458333,1240000,1730000
1223,NA,FIVE,burwood,3125,20150613,WkEnd,SDay,WrkngDy,sold,Hse,3,2,1,41,64,76,N,N,Y,N,108.5,116.5,697,1960,4,0,889000,NA,2014,NA,6,18.2,0,17.1,0.9,0.3,2.4,1.49,1370000,1830000,15.2,GntlyInclnd,1614333,1730000,1340000
1228,NA,SIX,burwood,3125,20150314,WkEnd,SDay,WrkngDy,sold,Hse,3,1,2,43,44,68,Y,N,Y,N,108.5,116.5,766,1960,1,0,NA,NA,NA,NA,9.4,30.1,0,17.6,0.4,0.8,1.9,1.34,1370000,1830000,16.8,NrlyLvl,1724333,1730000,1000000
1229,NA,SEVEN,burwood,3125,20150313,WkDay,FDay,WrkngDy,sold,Hse,4,2,2,74,5,41,N,N,Y,Y,108.5,116.5,492,1997,2,0,115500,NA,1995,NA,14.4,20.4,0,16.8,0.9,0.8,1.3,2.58,1510000,2010000,14.8,NrlyLvl,1733333,1680000,1600000
1237,NA,SIX,burwood,3125,20180101,WkDay,MDay,HliDy,sold,Hse,4,2,2,52,19,38,N,N,Y,Y,108.5,116.5,505,2006,2,2,655000,650,2006,2012,NA,NA,NA,18.4,3,1.1,2,0.89,1180000,1580000,14.1,NrlyLvl,1441667,1420000,1460000
1246,NA,ONE,burwood,3125,20170208,WkDay,WDay,WrkngDy,sold,Hse,5,1,4,53,30,64,N,N,N,N,108.5,116.5,595,1950,4,1,673000,140,2010,2011,16.5,36,0,18.5,1.9,0.1,1.6,2.33,1080000,1430000,15.1,NrlyLvl,1400333,1200000,1170000
1247,NA,SIX,burwood,3125,20170130,WkDay,MDay,WrkngDy,sold,Hse,3,2,2,74,5,41,N,N,N,N,108.5,116.5,585,1960,5,1,580000,280,2008,2006,17.8,30,0,16.5,0.8,0.7,1,2.57,1030000,1360000,15.3,GntlyInclnd,1333833,1710000,1270000
1248,NA,TWO,burwood,3125,20161210,WkEnd,SDay,WrkngDy,sold,Hse,3,1,2,43,44,68,Y,N,Y,N,108.5,116.5,690,1975,1,0,NA,NA,NA,NA,11.2,18.8,0.2,17.5,0.2,0.9,1.8,1.45,1300000,1740000,14.8,NrlyLvl,1292667,1730000,1000000
1250,NA,FIVE,burwood,3125,20161203,WkEnd,SDay,WrkngDy,sold,Hse,3,1,2,43,34,52,Y,N,Y,N,108.5,116.5,579,1950,3,2,800000,NA,2014,2016,9.9,23.9,0,17,0.1,0.1,1.6,2,1300000,1740000,15.1,GntlyInclnd,1353833,1710000,1340000
1251,NA,SEVEN,burwood,3125,20161203,WkEnd,SDay,WrkngDy,sold,Hse,3,1,2,55,39,43,N,N,N,N,108.5,116.5,773,1960,5,0,1265000,NA,2015,NA,9.9,23.9,0,17.1,2.5,0.6,1.9,0.96,1300000,1740000,16.0,NrlyLvl,1426667,1240000,1730000
1254,NA,TWO,burwood,3125,20160604,WkEnd,SDay,WrkngDy,sold,Hse,3,1,1,43,34,52,N,N,N,N,108.5,116.5,669,1950,3,1,458000,450,2007,2012,9.8,13.4,6.2,16.7,0.6,6.7,7.6,1.74,1300000,1740000,18.3,GntlyInclnd,1405500,1710000,1730000
1255,NA,NINE,burwood,3125,20151107,WkEnd,SDay,WrkngDy,sold,Hse,4,2,1,58,36,55,Y,N,N,N,108.5,116.5,877,1980,2,1,1388000,455,2015,2017,11.9,16.8,1.2,18.5,0.4,0.4,1.3,2.5,1510000,2010000,15.2,GntlyInclnd,1746667,1170000,965000
1257,NA,TWO,burwood,3125,20151016,WkDay,FDay,WrkngDy,sold,Hse,3,2,3,58,36,55,Y,N,Y,Y,108.5,116.5,714,1999,5,0,521000,NA,2006,NA,17,23.8,0,19,1.4,1.4,0.8,2.53,1300000,1740000,NA,NrlyLvl,1515167,891000,1410000
